COHORT: GNE_AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 2
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
USP4	3.702719227002576	0.00021330090430069854	0.283839	0.252845	0.261617	0.17638	0.66045	0.789422	1.05260820156118	0.455068209809692	0.0207183586618177	18.0	3.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: GNE_AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.01; NUMVAR >= 2
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
B3GNT3	5.832494373896611	5.46048466600301e-09	2.68973	1.15607	0.019986	NA	NA	NA	3.74312143465989	1.06766982470067	0.0004551017125469	3.0	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TRAPPC3L	5.80117921453606	6.585017397433517e-09	0.897772	0.408838	0.0280984	0.48783	0.927199	0.598795	1.93465590208608	0.628311518023376	0.0020760267795094	12.0	3.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PHKB	-5.198583918198318	2.0081246271048485e-07	-0.323878	0.210575	0.124033	-0.902617	0.435521	0.038219	-0.552281175440779	0.347779796438713	0.112281879679084	35.0	5.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RHOT1	5.012074252856626	5.384641656246123e-07	1.3322	0.403416	0.000958919	NA	NA	NA	2.62387757959348	1.53463246781295	0.0873073246960329	7.0	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DARS2	-4.709187233138477	2.487065321648398e-06	-1.44981	0.724348	0.0453341	-0.787099	0.607528	0.195122	-1.22086061716666	0.864587589790735	0.157928527237509	21.0	2.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SOAT2	4.6936814506751645	2.6833176433622946e-06	0.342033	0.142527	0.0164051	NA	NA	NA	0.709482890173676	0.309290499961594	0.0217959810802337	15.0	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RECQL4	-4.5085829476588675	6.526205365701393e-06	-0.431899	0.28489	0.129515	-0.960585	0.829057	0.2466	-0.958903366453814	0.522872303138372	0.0666666107120231	33.0	3.0	20.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FLYWCH1	4.323573396265761	1.5352203040051235e-05	0.93627	0.372884	0.0120429	NA	NA	NA	0.673856807453204	0.371745062728614	0.0698803743089678	17.0	NA	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ENTPD8	-4.321333233287403	1.5508924516591577e-05	-0.142246	0.217452	0.513017	-1.58509	0.817629	0.052545	-1.16387329058535	0.673326522403539	0.0838910667717844	11.0	2.0	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LNPK	4.092152232493413	4.273879158926807e-05	1.03009	0.475951	0.0304437	NA	NA	NA	2.3228565716243	1.20487935766465	0.0538706987442293	10.0	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ADCK2	4.076583210601575	4.570230529157532e-05	0.0786311	0.113586	0.488775	0.339467	0.216071	0.116161	0.350634395110526	0.193375291755426	0.0697959441316925	15.0	2.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MUC16	-4.042726614048682	5.28332092430793e-05	-0.620858	0.30464	0.0415497	-0.247602	0.664291	0.709349	-0.400447685078324	0.245373878872538	0.102681619867172	43.0	2.0	82.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CC2D2B	4.033465648215079	5.496021828237918e-05	0.440874	0.230293	0.0555689	1.12678	0.827913	0.173516	0.164308771700981	0.21674544663111	0.448407556432294	29.0	2.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RTEL1-TNFRSF6B	-4.023697340010229	5.729153526502085e-05	-0.46009	0.320778	0.151488	NA	NA	NA	-1.11404195155882	0.430231160596678	0.0096142444242319	23.0	NA	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
BPIFB3	4.0129586120208725	5.9962429912016596e-05	1.38835	0.671587	0.0387086	0.0703184	0.162284	0.664794	0.469197026423587	0.310236189975395	0.13043556649914	6.0	2.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KCNA3	4.010580998020389	6.05695166885065e-05	1.94498	0.91334	0.0332104	NA	NA	NA	1.97303286395872	1.04889617777735	0.0599642476389752	5.0	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CMYA5	3.967167809652449	7.273178342815592e-05	0.403201	0.19652	0.0401986	NA	NA	NA	0.475197136309135	0.248084718658797	0.0554334644759755	11.0	NA	34.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
WDR3	-3.9593032655117835	7.516873630887013e-05	-0.396642	0.436128	0.363105	-0.893407	0.75322	0.235576	-1.26057597937487	0.676374828618665	0.0623604777629362	15.0	2.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
POMGNT1	3.89840299328596	9.68291760782815e-05	0.521393	0.290666	0.0728475	0.416404	0.618519	0.500803	0.921685236776475	0.643910077495527	0.152319010615942	21.0	3.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ABCB5	3.862177943969148	0.00011238066095432758	0.0997735	0.206295	0.628639	0.464733	0.199699	0.0199567	0.43089499656155	0.409843088090779	0.293090627721931	22.0	7.0	13.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ECD	3.853803066130741	0.00011629715009031136	1.02706	0.443759	0.020643	NA	NA	NA	0.882518342440177	0.573306360345668	0.123719215446128	4.0	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IGFLR1	3.8515873863335823	0.00011735463754369671	1.24067	0.493339	0.0119088	NA	NA	NA	0.404683734978358	0.302738248886021	0.181306001493002	8.0	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RAD51B	3.8424554642186526	0.00012180952211714314	0.929889	0.391175	0.0174462	NA	NA	NA	0.868260027410425	0.59255300721949	0.142842719656024	10.0	NA	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ING1	3.8352735177975004	0.00012542463685537587	1.09031	0.570416	0.0559503	NA	NA	NA	1.30060170852165	0.676043240737701	0.0543741447748026	11.0	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: GNE_AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MODERATE_HIGH_IMPACT_SNPEFF; MAF: 0.001; NUMVAR >= 2
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	12.260336470837252	1.478845570191588e-34	0.908954	0.114241	1.77078e-15	0.87011	0.352526	0.013579	0.769647136492188	0.419275225865795	0.0664078248262314	99.0	15.0	19.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CFAP52	-7.3237944207983166	2.4105588133251125e-13	-0.374287	0.159815	0.0191807	-0.852688	0.351345	0.0152275	-0.679282920704885	0.265877931573182	0.010622818696429	103.0	13.0	66.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MET	-7.219312722347571	5.225097195596189e-13	-0.34234	0.11358	0.00257763	-0.531186	0.236899	0.0249452	-0.348147226623997	0.177356568585066	0.0496486096306934	224.0	25.0	109.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RASAL1	6.706266072717486	1.9966751570386875e-11	0.261541	0.0924302	0.00466059	0.294965	0.221892	0.183743	0.448398950436858	0.176026156575716	0.0108546767567477	177.0	23.0	89.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
BOLA1	6.517708366133435	7.138961601267481e-11	0.344505	0.215287	0.109551	1.00169	0.587393	0.0881355	1.09138563558828	0.339764698226677	0.0013173145056984	32.0	5.0	15.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ENDOU	-6.408823465341201	1.466468749158484e-10	-0.457218	0.175325	0.00911182	-1.25106	0.462893	0.00687814	-0.319398895783598	0.29081358845583	0.272076016270057	81.0	15.0	42.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LAT	6.370882369738016	1.8794375214523342e-10	0.258709	0.124081	0.0370698	0.256227	0.292201	0.380547	1.04728919798518	0.307213444891926	0.0006520259662626	72.0	14.0	25.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IRX6	6.23091195442666	4.637276910401199e-10	0.356555	0.11117	0.00133983	0.541059	0.353948	0.126354	0.304664486488613	0.203792086620824	0.134920439441739	121.0	13.0	63.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GDF9	5.984378060712958	2.1721824899220808e-09	0.0644429	0.161643	0.690134	0.978568	0.474318	0.0391026	0.794658719313446	0.225588787384234	0.0004273382441273	78.0	8.0	53.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FAM163B	5.946408442520125	2.7408972787625128e-09	0.457614	0.175815	0.00924594	0.875654	0.663983	0.187239	0.779833770623014	0.385140527547296	0.0428875769024872	63.0	4.0	24.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KCTD20	-5.943073435313091	2.7972704198552794e-09	-0.196753	0.169309	0.245199	-1.75895	0.645344	0.00641836	-0.616749041686765	0.300065896288241	0.0398424444410282	73.0	9.0	36.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ADORA1	5.932357150382549	2.986161675878073e-09	0.331983	0.182339	0.0686536	0.336044	0.498973	0.500647	1.13607511914656	0.330427801492552	0.0005856064517807	44.0	6.0	26.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
H2BC21	5.781513365093568	7.40315983705792e-09	1.10677	0.353378	0.00173633	1.60718	0.606588	0.00805997	NA	NA	NA	16.0	3.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ALKBH6	5.731461747430967	9.95688055380673e-09	0.217457	0.151639	0.15156	0.919734	0.535683	0.0859909	1.25008792256202	0.484439949149861	0.0098662880839102	53.0	6.0	15.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MRPL42	5.704589374023751	1.1662388974287816e-08	0.668526	0.192469	0.000513853	0.465214	0.543548	0.392062	0.743514344839041	0.540626140875082	0.16904349327989	39.0	7.0	14.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DPYSL4	5.67715183229032	1.3695590330775135e-08	0.151864	0.110952	0.171085	0.854218	0.290256	0.0032507	0.342334313877614	0.250714575026288	0.172116547380197	162.0	19.0	59.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
STK38L	5.637416451639033	1.72620307009305e-08	0.218251	0.201798	0.279461	1.22117	1.33842	0.36156	2.40301630443648	0.659537369253677	0.0002689684924	44.0	2.0	12.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NPRL3	5.631925529572966	1.782086372414052e-08	0.0864959	0.100589	0.389848	0.293929	0.252126	0.243694	0.747545942522838	0.207292959777661	0.0003106786473185	171.0	26.0	67.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FAM186B	5.604489443249647	2.088697199022318e-08	0.0126039	0.0991092	0.898805	0.453466	0.209124	0.0301275	0.584628522997871	0.176683096152478	0.0009365982698737	164.0	29.0	95.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RNF114	5.567361241187419	2.586258771211552e-08	0.409236	0.183588	0.025807	-0.177176	0.557318	0.750554	0.759777852904681	0.207807061135968	0.0002560120421331	41.0	6.0	23.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TMEM139	-5.562034488638847	2.666475768539809e-08	-0.587081	0.318476	0.0652694	-0.673056	0.508628	0.185743	-0.44538241514511	0.185936287845707	0.0166045242260591	47.0	5.0	29.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LBX2	5.556468217121233	2.7528781845941904e-08	0.342745	0.107123	0.00137648	0.426203	0.272279	0.117509	0.180364116004144	0.227846189064916	0.428591200801343	66.0	15.0	35.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PEX3	5.546571993716161	2.9132470449923186e-08	0.184781	0.186585	0.322014	1.12681	0.723774	0.119504	1.03709666550656	0.345769526104832	0.0027052333804591	54.0	3.0	29.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ATP8B2	5.538898710925141	3.0437961241825526e-08	0.216879	0.0990393	0.0285368	0.346879	0.25032	0.165826	0.298443343528875	0.152008846187892	0.0496079826424711	184.0	21.0	86.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: GNE_AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MODERATE_HIGH_IMPACT_SNPEFF; MAF: 0.01; NUMVAR >= 2
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	17.574578515356254	3.8574631686490656e-69	0.549558	0.0685098	1.04386e-15	0.567902	0.129786	1.21058e-05	0.669509757037131	0.129316351187564	2.25118087878369e-07	101.0	17.0	21.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF184	6.701774309378813	2.059038871140402e-11	0.211309	0.104316	0.0427985	0.396059	0.190758	0.0378721	0.477197258220907	0.183546305963638	0.0093258010635777	94.0	6.0	34.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NUP210	6.258673260822645	3.8826637498223286e-10	0.094584	0.0442354	0.0325008	0.153764	0.090641	0.089809	0.215867383609869	0.0890516461477096	0.0153476659529858	428.0	65.0	212.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IRX6	6.23091195442666	4.637276910401199e-10	0.356555	0.11117	0.00133983	0.541059	0.353948	0.126354	0.304664486488613	0.203792086620824	0.134920439441739	121.0	13.0	63.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RNF114	6.173119407269017	6.695560467505776e-10	0.125694	0.110137	0.253767	0.268103	0.194885	0.168915	0.759777852904681	0.207807061135968	0.0002560120421331	43.0	9.0	23.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CDKL1	5.908061261948835	3.4615730019764767e-09	0.131507	0.10772	0.222152	0.709422	0.234415	0.00247528	0.400930602982358	0.241395319479473	0.0967359314482771	93.0	18.0	43.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OR51I1	5.871201578840734	4.3264782022152505e-09	0.16411	0.0700042	0.0190631	0.116835	0.117772	0.321176	0.419035654868364	0.165308557015387	0.011248915413039	64.0	15.0	39.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PARP9	5.817778843975347	5.9634728811202316e-09	0.145716	0.0733979	0.047112	0.255248	0.155686	0.101108	0.413964749771442	0.18876768293327	0.0283084397543398	146.0	27.0	82.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FASTKD1	-5.788502096924117	7.101686238593987e-09	-0.174178	0.100145	0.0819896	-0.405527	0.229348	0.0770321	-0.305038213300448	0.133725887864277	0.0225442597767701	164.0	18.0	90.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LRRK2	5.781984469138751	7.382452497462375e-09	0.059815	0.0524939	0.254509	0.275456	0.105909	0.00929857	0.198642149233156	0.0972951747741926	0.0411868171620675	436.0	58.0	200.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LSR	5.771044105426803	7.878184909667077e-09	0.137347	0.0675212	0.0419383	0.389609	0.189903	0.0402064	0.199387817072404	0.11831058046768	0.0919323425032511	172.0	26.0	83.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ADORA1	5.748100303477011	9.025169735206915e-09	0.144216	0.121377	0.234768	0.438241	0.297819	0.141156	0.659743667814118	0.213617582461457	0.0020121481610491	45.0	7.0	27.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KBTBD13	-5.746382187582653	9.117310341258003e-09	-0.186484	0.0703107	0.00799485	-0.439713	0.18025	0.0147093	-0.132498228978087	0.202399992886719	0.512702435189976	154.0	16.0	26.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MRPL42	5.704589374023751	1.1662388974287816e-08	0.668526	0.192469	0.000513853	0.465214	0.543548	0.392062	0.743514344839041	0.540626140875082	0.16904349327989	39.0	7.0	14.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TESPA1	5.678071319343165	1.3622192112141433e-08	0.240324	0.0757658	0.00151431	0.201996	0.132179	0.126464	0.161126849024151	0.164761745308085	0.32810475719415	95.0	18.0	52.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PPFIBP2	5.656017914611887	1.5492530383633124e-08	0.171921	0.0643884	0.00758372	0.0678343	0.126006	0.590341	0.338927396665482	0.138472545536282	0.014380546441364	245.0	50.0	115.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PTGDR	-5.64567914142863	1.645304472660949e-08	-0.227435	0.0947827	0.0164155	-0.187093	0.139804	0.180814	-0.346429587044629	0.18157774224614	0.0564059843856792	90.0	15.0	41.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
STK38L	5.637416451639033	1.72620307009305e-08	0.218251	0.201798	0.279461	1.22117	1.33842	0.36156	2.40301630443648	0.659537369253677	0.0002689684924	44.0	2.0	12.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GDF9	5.631332989341324	1.7882208767121392e-08	-0.0241377	0.0870218	0.781492	0.33163	0.188746	0.0789138	0.73143958512651	0.176178717193651	3.30027742344439e-05	80.0	10.0	54.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
USP25	5.600018624138157	2.143287771714212e-08	0.185888	0.0686303	0.00675804	0.113968	0.162781	0.483847	0.384827832055438	0.175612497449217	0.0284267273076025	168.0	17.0	72.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
