COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 2 for SkatO
COG3	16.138755314868686	0.0003129779999999995	0.000312978	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CC2D2B	21.009810481416512	0.00031525404452803024	0.000123717	0.221487	29.0	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ACER3	16.120638257885457	0.0003158260000000002	0.000315826	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
BRDT	15.943839530393383	0.0003450159999999997	0.000345016	NA	15.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SLC16A12	15.860380333626644	0.00035971800000000003	0.000359718	NA	6.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZDHHC24	15.809308590209556	0.0003690220000000002	0.000369022	NA	16.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RHOT1	14.66425908730072	0.0006541790000000004	0.000654179	NA	7.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ING1	14.649340373169762	0.0006590769999999997	0.000659077	NA	11.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LOC105371046	19.268515563522328	0.0006959887053591347	0.000108919	0.600885	12.0	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
YJEFN3	13.764194557739502	0.0010259900000000003	0.00102599	NA	6.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OTUD7B	13.685415025063946	0.0010672100000000003	0.00106721	NA	7.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
B3GNT3	13.655855958245166	0.0010831	0.0010831	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PANX2	13.617322714949077	0.0011041699999999994	0.00110417	NA	5.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LRRC8D	13.5120607923313	0.00116384	0.00116384	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ATP6V0E1	13.399239574590405	0.0012313800000000005	0.00123138	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RIPK2	13.041234175133713	0.0014727600000000016	0.00147276	NA	6.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LTK	17.598689189837703	0.001478053751267193	0.000587123	0.2569	23.0	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.001; NUMVAR >= 2 for CMCWald
GENE	TEST_STAT	META_PVAL	UKB_ALL_CASES_PVAL	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
ZSCAN25	19.265127328392662	0.0006970577271169408	0.000149851	0.437493	18.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RHOT1	13.899407899260614	0.0009589190000000005	0.000958919	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KIF19	17.0643403772256	0.0018780941335594865	0.00117763	0.167308	18.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TMEM252	11.04934212975028	0.00398718	0.00398718	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OTUD7B	11.02521544659303	0.004035570000000001	0.00403557	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ACSL6	10.682687745104888	0.00478943	0.00478943	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
WDR33	10.53668623327249	0.005152139999999999	0.00515214	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RRP1B	10.291130757440508	0.005825180000000001	0.00582518	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ENOX2	10.244980371941052	0.005961160000000004	0.00596116	NA	9.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EME2	10.158803882347756	0.006223630000000002	0.00622363	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CTSA	10.058871847119946	0.006542500000000005	0.0065425	NA	14.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NUP160	10.00938000483828	0.006706420000000004	0.00670642	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GLIPR2	9.97289635019981	0.006829879999999997	0.00682988	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SULT1E1	9.760796268004938	0.00759399	0.00759399	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CAPRIN2	9.735271111133065	0.007691529999999995	NA	0.00769153	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
YJEFN3	9.666215420097965	0.00796174	0.00796174	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RIPK2	9.458926481823656	0.00883121	0.00883121	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NRBF2	9.402397647643175	0.009084380000000001	0.00908438	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
COG3	9.395514154621814	0.009115699999999997	0.0091157	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MYL1	9.386346654681455	0.00915758	0.00915758	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CPLX3	9.132783756748037	0.010395400000000003	0.0103954	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
INSM2	9.115848140782452	0.010483800000000003	0.0104838	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CDC42BPB	9.076275803727547	0.010693300000000003	0.0106933	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GJA8	9.057233270544632	0.010795599999999999	0.0107956	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.01; NUMVAR >= 2 for SkatO
GENE	TEST_STAT	META_PVAL	UKB_ALL_CASES_PVAL	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
TMEM252	19.82513732254464	4.9548000000000014e-05	4.9548e-05	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PCGF5	18.227334969431844	0.00011015000000000002	0.00011015	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RSPRY1	16.955521924345046	0.0002080440000000001	0.000208044	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZSCAN25	21.441848901721873	0.00025877572662349075	3.7299e-05	0.591922	18.0	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CDK5RAP2	16.359885372591926	0.000280218	0.000280218	NA	34.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ENTPD1-AS1	21.20139132769019	0.0002888420391804697	0.000112416	0.221487	30.0	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
COG3	16.138755314868686	0.0003129779999999995	0.000312978	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CC2D2B	21.009810481416512	0.00031525404452803024	0.000123717	0.221487	29.0	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ACER3	16.120638257885457	0.0003158260000000002	0.000315826	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
BRDT	15.943839530393383	0.0003450159999999997	0.000345016	NA	15.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SLC16A12	15.860380333626644	0.00035971800000000003	0.000359718	NA	6.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZDHHC24	15.809308590209556	0.0003690220000000002	0.000369022	NA	16.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RHOT1	14.66425908730072	0.0006541790000000004	0.000654179	NA	7.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ING1	14.649340373169762	0.0006590769999999997	0.000659077	NA	11.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LOC105371046	19.268515563522328	0.0006959887053591347	0.000108919	0.600885	12.0	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
YJEFN3	13.764194557739502	0.0010259900000000003	0.00102599	NA	6.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OTUD7B	13.685415025063946	0.0010672100000000003	0.00106721	NA	7.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
B3GNT3	13.655855958245166	0.0010831	0.0010831	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PANX2	13.617322714949077	0.0011041699999999994	0.00110417	NA	5.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LRRC8D	13.5120607923313	0.00116384	0.00116384	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ATP6V0E1	13.399239574590405	0.0012313800000000005	0.00123138	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RIPK2	13.041234175133713	0.0014727600000000016	0.00147276	NA	6.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NRBF2	12.994565458126868	0.001507529999999999	0.00150753	NA	6.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TRAPPC6A	12.972151345133181	0.0015245200000000003	0.00152452	NA	5.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.01; NUMVAR >= 2 for CMCWald
GENE	TEST_STAT	META_PVAL	UKB_ALL_CASES_PVAL	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
ZSCAN25	19.265127328392662	0.0006970577271169408	0.000149851	0.437493	18.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RHOT1	13.899407899260614	0.0009589190000000005	0.000958919	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TMEM252	11.04934212975028	0.00398718	0.00398718	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OTUD7B	11.02521544659303	0.004035570000000001	0.00403557	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ACSL6	10.682687745104888	0.00478943	0.00478943	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
WDR33	10.53668623327249	0.005152139999999999	0.00515214	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RRP1B	10.291130757440508	0.005825180000000001	0.00582518	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ENOX2	10.244980371941052	0.005961160000000004	0.00596116	NA	9.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EME2	10.158803882347756	0.006223630000000002	0.00622363	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NUP160	10.00938000483828	0.006706420000000004	0.00670642	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GLIPR2	9.97289635019981	0.006829879999999997	0.00682988	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FAAH2	9.786742119321245	0.007496109999999999	0.00749611	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SULT1E1	9.760796268004938	0.00759399	0.00759399	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CAPRIN2	9.735271111133065	0.007691529999999995	NA	0.00769153	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
YJEFN3	9.666215420097965	0.00796174	0.00796174	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RIPK2	9.458926481823656	0.00883121	0.00883121	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TMEM209	9.451290934976374	0.008864990000000001	0.00886499	NA	11.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NRBF2	9.402397647643175	0.009084380000000001	0.00908438	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
COG3	9.395514154621814	0.009115699999999997	0.0091157	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CCDC9	9.212185222583063	0.00999078	NA	0.00999078	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RASAL3	9.20566583904921	0.0100234	0.0100234	NA	22.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CPLX3	9.132783756748037	0.010395400000000003	0.0103954	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
INSM2	9.115848140782452	0.010483800000000003	0.0104838	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CDC42BPB	9.076275803727547	0.010693300000000003	0.0106933	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MODERATE_HIGH_IMPACT_SNPEFF; MAF: 0.001; NUMVAR >= 2 for SkatO
GENE	TEST_STAT	META_PVAL	UKB_ALL_CASES_PVAL	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	44.518850813977394	2.1520599999999945e-10	2.15206e-10	NA	99	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TREML1	25.266941056175778	3.2610200000000046e-06	3.26102e-06	NA	73	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF274	25.259827118657526	3.272640000000001e-06	3.27264e-06	NA	115	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TUBA1B	21.446501328338435	2.202679999999999e-05	2.20268e-05	NA	18	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PHC2-AS1	20.2300672309096	4.0466600000000044e-05	4.04666e-05	NA	33	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
VPS37B	20.189460771682672	4.129660000000004e-05	4.12966e-05	NA	83	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RAP1A	20.088457748693592	4.343570000000004e-05	4.34357e-05	NA	29	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
P2RY10	19.52142205629585	5.7673599999999935e-05	5.76736e-05	NA	22	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SEPT5-GP1BB	19.42586992763783	6.049589999999994e-05	6.04959e-05	NA	112	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPS14	19.046147242589644	7.314450000000005e-05	7.31445e-05	NA	18	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MVD	18.329185854849527	0.00010468099999999998	0.000104681	NA	169	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CELA3B	18.17975297712209	0.00011280200000000001	0.000112802	NA	68	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PANX1	18.022683966261024	0.0001220179999999999	0.000122018	NA	88	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SEPTIN5	17.95403362643239	0.0001262789999999999	0.000126279	NA	68	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ATP6V0E1	17.947313800992436	0.00012670399999999992	0.000126704	NA	11	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
AGAP7P	17.28645409332706	0.00017631699999999997	0.000176317	NA	3	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF567	17.15425797605447	0.00018836500000000007	0.000188365	NA	86	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
HOXA4	17.07879580280886	0.00019560800000000003	0.000195608	NA	84	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
