COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 3
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
ING1	2.6961686032346894	0.007014215341954658	0.678852	1.17347	0.562926	NA	NA	NA	1.53514	0.708235	0.0301918	1.30060170852165	0.676043240737701	0.0543741447748026	4.0	NA	7.0	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TOX2	2.694330660905949	0.007053015571577561	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.66582487018333	0.989420084499564	0.0070530155715774	NA	NA	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ANKRD35	2.691370037296749	0.007115921765606934	NA	NA	NA	0.622617	0.525273	0.23589	NA	NA	NA	0.787903283802311	0.300628770593821	0.0087710527736246	NA	3.0	NA	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
FER1L5	2.6816216155770527	0.00732662781441824	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.21105382472761	0.451612493609396	0.0073266278144184	NA	NA	NA	16.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
PRMT2	2.6617244320344113	0.007774149496645693	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.12671154898114	0.798997643552323	0.0077741494966456	NA	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ASPDH	2.6507034511323426	0.008032433335630923	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.262857876112	0.853682019822074	0.008032433335631	NA	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
CYP2C18	2.636884802061022	0.008367124079129332	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.26139998932976	0.47836749953727	0.0083671240791291	NA	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
MMACHC	2.635344915371775	0.008405182507793305	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.31811923178804	0.500169531547672	0.0084051825077931	NA	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.01; NUMVAR >= 3
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
B3GNT3	3.762712896251232	0.0001680801193944064	NA	NA	NA	NA	NA	NA	2.22864	1.22763	0.0694624	3.74312143465989	1.06766982470067	0.0004551017125469	NA	NA	3.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TRAPPC3L	3.2197385933664666	0.0012830753859268396	NA	NA	NA	0.48783	0.927199	0.598795	0.915604	0.464424	0.0486686	1.93465590208608	0.628311518023376	0.0020760267795094	NA	3.0	11.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LNPK	3.181847952005855	0.0014633862234025839	NA	NA	NA	NA	NA	NA	1.29897	0.505055	0.0101133	2.3228565716243	1.20487935766465	0.0538706987442293	NA	NA	8.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
GLIPR2	3.1806096636147028	0.0014696550315069327	NA	NA	NA	NA	NA	NA	1.77409	0.557783	0.00146969	NA	NA	NA	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RP11-400G3.5	3.112899632413066	0.0018525900862235362	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.43633195258633	0.461412869734226	0.0018525900862235	NA	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
NOC2L	3.056221764227844	0.0022414540542561086	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.26734113357892	0.414675776611752	0.0022414540542561	NA	NA	NA	15.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
SLC17A1	-3.042402310276703	0.002346979837439067	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.69759772015894	0.557979368614319	0.002346979837439	NA	NA	NA	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ZNF587B	3.0318646066294477	0.002430481939366744	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.31028989661085	0.762002990357548	0.0024304819393667	NA	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
PHKB	-2.979277049961252	0.002889294065856606	-1.23742	0.731361	0.0906565	-0.902617	0.435521	0.038219	-0.137739	0.227257	0.544453	-0.552281175440779	0.347779796438713	0.112281879679084	16.0	5.0	28.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
SOAT2	2.9658258109595463	0.0030187141032567894	0.647054	0.32986	0.0498089	NA	NA	NA	0.154095	0.174819	0.378072	0.709482890173676	0.309290499961594	0.0217959810802337	6.0	NA	13.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
FLYWCH1	2.9367584241373876	0.00331662354944501	1.02219	1.23519	0.407921	NA	NA	NA	0.968059	0.395712	0.0144303	0.673856807453204	0.371745062728614	0.0698803743089678	3.0	NA	17.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LY6K	2.9354628482829033	0.0033305049089437312	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.69839708249393	0.919240754170115	0.0033305049089437	NA	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
USP13	2.910664026056153	0.00360661604781899	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.61132224112706	0.897156874771737	0.0036066160478189	NA	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
MEI1	2.899569861415407	0.0037367506235431256	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.82844058953167	0.630590286463775	0.0037367506235431	NA	NA	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
NME3	-2.8870239483070685	0.003889046280325531	NA	NA	NA	NA	NA	NA	-0.384675	0.186755	0.0394194	-0.714047418602615	0.352949923634667	0.043064465862484	NA	NA	4.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
KCNA3	2.8215579821243355	0.004779099739915238	NA	NA	NA	NA	NA	NA	1.92885	0.914481	0.0349244	1.97303286395872	1.04889617777735	0.0599642476389752	NA	NA	5.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
KIN	2.806766914058083	0.005004143607014746	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.35245640322359	0.481855617026702	0.0050041436070147	NA	NA	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
IGFLR1	2.7608778415057946	0.0057646233848314	1.47332	1.01217	0.145505	NA	NA	NA	1.13707	0.571498	0.0466317	0.404683734978358	0.302738248886021	0.181306001493002	3.0	NA	7.0	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ALG8	2.758586659796047	0.005805191079041957	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.66839485358398	0.604800595137849	0.0058051910790419	NA	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ING1	2.6961686032346894	0.007014215341954658	0.678852	1.17347	0.562926	NA	NA	NA	1.53514	0.708235	0.0301918	1.30060170852165	0.676043240737701	0.0543741447748026	4.0	NA	7.0	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TOX2	2.694330660905949	0.007053015571577561	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.66582487018333	0.989420084499564	0.0070530155715774	NA	NA	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ANKRD35	2.691370037296749	0.007115921765606934	NA	NA	NA	0.622617	0.525273	0.23589	NA	NA	NA	0.787903283802311	0.300628770593821	0.0087710527736246	NA	3.0	NA	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
FER1L5	2.6816216155770527	0.00732662781441824	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.21105382472761	0.451612493609396	0.0073266278144184	NA	NA	NA	16.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
PRMT2	2.6617244320344113	0.007774149496645693	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.12671154898114	0.798997643552323	0.0077741494966456	NA	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_MODERATE_HIGH_IMPACT_SNPEFF; MAF: 0.001; NUMVAR >= 3
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
GBA	7.4250062857420716	1.1277455929883639e-13	1.18776	0.263712	6.66843e-06	0.87011	0.352526	0.013579	0.831198	0.137567	1.52088e-09	0.769647136492188	0.419275225865795	0.0664078248262314	35.0	15.0	87.0	19.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
NOP53	4.123451597897457	3.73236918267757e-05	0.588006	0.213796	0.00595379	0.554177	0.222032	0.0125628	0.191163	0.100836	0.05799	NA	NA	NA	49.0	28.0	134.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
H2BC21	4.0211811218805344	5.790705780076507e-05	0.906926	0.879772	0.302604	1.60718	0.606588	0.00805997	1.32703	0.40403	0.00102168	NA	NA	NA	4.0	3.0	14.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
CFAP52	-3.9886887526623016	6.643952646604168e-05	-0.352038	0.407327	0.387442	-0.852688	0.351345	0.0152275	-0.392146	0.183992	0.0330625	-0.679282920704885	0.265877931573182	0.010622818696429	33.0	13.0	89.0	66.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
BOLA1	3.9758347690267692	7.013280894036834e-05	1.01812	0.555583	0.0668723	1.00169	0.587393	0.0881355	0.29071	0.241926	0.229499	1.09138563558828	0.339764698226677	0.0013173145056984	9.0	5.0	28.0	15.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LAT	3.8118358279548135	0.00013793848478799495	0.383077	0.345959	0.268168	0.256227	0.292201	0.380547	0.312957	0.140308	0.0257144	1.04728919798518	0.307213444891926	0.0006520259662626	25.0	14.0	63.0	25.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ENDOU	-3.8004775553596546	0.000144417499077961	-0.774573	0.525582	0.14055	-1.25106	0.462893	0.00687814	-0.477196	0.205138	0.0200072	-0.319398895783598	0.29081358845583	0.272076016270057	25.0	15.0	73.0	42.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RASAL1	3.7845782045400154	0.00015396948711590895	0.167136	0.281289	0.552392	0.294965	0.221892	0.183743	0.319012	0.102963	0.00194616	0.448398950436858	0.176026156575716	0.0108546767567477	53.0	23.0	151.0	89.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
IRX6	3.6741143974969934	0.0002386757884747313	0.44192	0.289191	0.126482	0.541059	0.353948	0.126354	0.356622	0.127525	0.00516634	0.304664486488613	0.203792086620824	0.134920439441739	43.0	13.0	104.0	63.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DSEL	3.6408743130948973	0.0002717137641646322	0.688363	0.223059	0.00202863	0.669373	0.267761	0.0124232	-0.0495721	0.119793	0.67901	0.401032076443262	0.190093195512048	0.0348876224806451	63.0	22.0	185.0	79.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
C11orf63	3.554628543098328	0.0003785134359892994	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.678364400041665	0.190839743679766	0.0003785134359892	NA	NA	NA	78.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
MET	-3.5226622434708963	0.00042723545309176337	0.125137	0.245511	0.61026	-0.531186	0.236899	0.0249452	-0.455643	0.136021	0.000808668	-0.348147226623997	0.177356568585066	0.0496486096306934	60.0	25.0	192.0	109.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ALKBH6	3.520817537741616	0.00043021854221761386	0.594249	0.371426	0.109618	0.919734	0.535683	0.0859909	0.194184	0.169696	0.252498	1.25008792256202	0.484439949149861	0.0098662880839102	14.0	6.0	49.0	15.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
C17orf64	3.4211763303938647	0.0006235089238268654	0.683108	0.451116	0.12996	0.546824	0.472332	0.246983	0.535203	0.178803	0.00276027	0.451910522759272	0.383910718524391	0.23914601492727	11.0	6.0	43.0	18.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RAP1A	3.4208486754218894	0.0006242605671008614	1.23143	0.523584	0.0186766	NA	NA	NA	0.712923	0.30944	0.0212274	0.738911900978991	0.582166136485003	0.204353424534249	9.0	NA	22.0	9.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
P2RY10	3.3966668828221254	0.0006821194985563265	NA	NA	NA	NA	NA	NA	1.36188	0.400946	0.000682143	NA	NA	NA	NA	NA	18.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
KLHL25	-3.393628281641692	0.0006897324557928926	-0.7315	0.334694	0.0288465	-0.912865	0.315496	0.00381062	-0.129332	0.113296	0.253645	-0.110098849802646	0.194277496771165	0.57091175168186	60.0	22.0	153.0	102.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DPYSL4	3.3545099550053252	0.0007950569235253937	0.37131	0.246166	0.131459	0.854218	0.290256	0.0032507	0.118508	0.132822	0.372269	0.342334313877614	0.250714575026288	0.172116547380197	60.0	19.0	130.0	59.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TMEM139	-3.2732173594453906	0.0010633067480788634	-0.577221	1.05995	0.586046	-0.673056	0.508628	0.185743	-0.899827	0.394102	0.0224167	-0.44538241514511	0.185936287845707	0.0166045242260591	8.0	5.0	45.0	29.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
CDC26	3.2716188662079255	0.001069336261209943	1.81287	0.771645	0.0188055	0.622977	0.612473	0.309082	0.440977	0.280198	0.115533	0.929600068061295	0.579939805616216	0.108951192472282	5.0	3.0	14.0	11.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
GDF9	3.262548683178749	0.0011041520621758616	-0.0307325	0.417014	0.941252	0.978568	0.474318	0.0391026	0.184661	0.182275	0.311016	0.794658719313446	0.225588787384234	0.0004273382441273	26.0	8.0	56.0	53.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
FAM71F2	-3.236016343516089	0.0012121044393021072	-0.95334	0.73802	0.196442	-0.387627	0.55599	0.485688	-0.448595	0.222553	0.0438333	-0.809628873300421	0.328127907924966	0.0136091194208064	17.0	4.0	54.0	31.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ELN	3.234198889642393	0.0012198447446297028	0.452351	0.233779	0.0529957	0.343713	0.206046	0.0952886	0.0225905	0.10815	0.834541	0.46195315067883	0.173900121153146	0.0078973313372441	57.0	30.0	169.0	81.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
METRNL	3.21664370485055	0.0012969956052293129	0.794897	0.324366	0.0142613	0.283886	0.353123	0.421437	0.139876	0.138025	0.310865	0.607021979312394	0.280336965987088	0.0303624397724364	22.0	10.0	75.0	24.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_MODERATE_HIGH_IMPACT_SNPEFF; MAF: 0.01; NUMVAR >= 3
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
GBA	10.198862751315101	2.0060766862712784e-24	0.686803	0.16392	2.79129e-05	0.567902	0.129786	1.21058e-05	0.531911	0.079928	2.83539e-11	0.669509757037131	0.129316351187564	2.25118087878369e-07	37.0	17.0	89.0	21.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
EEA1	3.941305683766922	8.103927094264744e-05	0.590326	0.124889	2.28064e-06	0.064873	0.111883	0.56203	0.0201216	0.0621534	0.746135	0.281506105845934	0.124989607473326	0.0243073559565939	55.0	28.0	165.0	92.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ZNF184	3.7922066261525758	0.00014931459510464292	0.133833	0.265291	0.613928	0.396059	0.190758	0.0378721	0.285935	0.11895	0.0162243	0.477197258220907	0.183546305963638	0.0093258010635777	18.0	6.0	82.0	34.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
NUP210	3.7557491025855727	0.00017282376521043493	0.25994	0.112504	0.0208605	0.153764	0.090641	0.089809	0.055011	0.0509113	0.279908	0.215867383609869	0.0890516461477096	0.0153476659529858	138.0	65.0	369.0	212.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
IRX6	3.6741143974969934	0.0002386757884747313	0.44192	0.289191	0.126482	0.541059	0.353948	0.126354	0.356622	0.127525	0.00516634	0.304664486488613	0.203792086620824	0.134920439441739	43.0	13.0	104.0	63.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RNF114	3.643171037855605	0.00026929976173646944	0.494221	0.26179	0.0590455	0.268103	0.194885	0.168915	0.0464586	0.126721	0.713902	0.759777852904681	0.207807061135968	0.0002560120421331	16.0	9.0	38.0	23.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
H2BC21	3.6062076702408525	0.000310704515749387	0.547517	0.518951	0.291404	1.60718	0.606588	0.00805997	0.53311	0.209758	0.0110362	NA	NA	NA	5.0	3.0	15.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
