COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_MODERATE_HIGH_IMPACT_SNPEFF; MAF: 0.01; NUMVAR >= 4
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	20.397725502630202	1.7517613686315276e-92	0.686803	0.16392	2.79129e-05	0.567902	0.129786	1.21058e-05	0.531911	0.079928	2.83539e-11	0.669509757037131	0.129316351187564	2.25118087878369e-07	37.0	17.0	89.0	21.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
EEA1	7.882611367533844	3.2060904352933083e-15	0.590326	0.124889	2.28064e-06	0.064873	0.111883	0.56203	0.0201216	0.0621534	0.746135	0.281506105845934	0.124989607473326	0.0243073559565939	55.0	28.0	165.0	92.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ZNF184	7.584413252305151	3.3399504062514553e-14	0.133833	0.265291	0.613928	0.396059	0.190758	0.0378721	0.285935	0.11895	0.0162243	0.477197258220907	0.183546305963638	0.0093258010635777	18.0	6.0	82.0	34.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
NUP210	7.511498205171147	5.845447300408105e-14	0.25994	0.112504	0.0208605	0.153764	0.090641	0.089809	0.055011	0.0509113	0.279908	0.215867383609869	0.0890516461477096	0.0153476659529858	138.0	65.0	369.0	212.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
IRX6	7.348228794993986	2.0085049190477122e-13	0.44192	0.289191	0.126482	0.541059	0.353948	0.126354	0.356622	0.127525	0.00516634	0.304664486488613	0.203792086620824	0.134920439441739	43.0	13.0	104.0	63.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RNF114	7.28634207571121	3.184837176670548e-13	0.494221	0.26179	0.0590455	0.268103	0.194885	0.168915	0.0464586	0.126721	0.713902	0.759777852904681	0.207807061135968	0.0002560120421331	16.0	9.0	38.0	23.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
PFN1	6.8855553193188985	5.756253972687972e-12	0.628587	0.27936	0.0244425	0.284172	0.285689	0.319888	0.310673	0.139322	0.0257541	0.64507894909386	0.457218503385814	0.158280963292684	16.0	8.0	46.0	7.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
KBTBD13	-6.83371853961539	8.27412900552004e-12	-0.187963	0.189502	0.321256	-0.439713	0.18025	0.0147093	-0.220938	0.0804071	0.00600073	-0.132498228978087	0.202399992886719	0.512702435189976	48.0	16.0	134.0	26.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
PARP9	6.681611947403304	2.363281413910701e-11	0.0982449	0.190428	0.605912	0.255248	0.155686	0.101108	0.194321	0.083285	0.0196371	0.413964749771442	0.18876768293327	0.0283084397543398	47.0	27.0	135.0	82.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LSR	6.6738465636230515	2.4918414586668965e-11	0.452144	0.164979	0.00613252	0.389609	0.189903	0.0402064	0.0156777	0.0798585	0.844361	0.199387817072404	0.11831058046768	0.0919323425032511	55.0	26.0	143.0	83.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
L3HYPDH	-6.605550475413477	3.960429361698194e-11	-1.28915	0.461324	0.00519854	0.166068	0.246656	0.50077	-0.200102	0.123469	0.105091	-0.935422302607683	0.326647521241963	0.0041871711187473	29.0	10.0	74.0	41.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
EMC9	6.547614746313655	5.846329827258109e-11	0.633749	0.205658	0.00205911	0.0884328	0.200654	0.659414	0.261996	0.0971064	0.00697512	0.0628306137094225	0.191969805268276	0.743445339935949	11.0	5.0	30.0	20.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
SNX27	-6.542519635259467	6.049089038186395e-11	-0.719619	0.283461	0.0111269	-0.645474	0.228581	0.00474535	0.0199522	0.0963165	0.835891	-0.273894107905587	0.197450435045843	0.16539489039208	27.0	10.0	58.0	29.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DDRGK1	6.534872068111847	6.366393663609982e-11	0.574286	0.323137	0.0755319	0.527719	0.39761	0.184434	0.305493	0.144792	0.0348688	0.356887088276418	0.270256787969625	0.186652087285779	27.0	8.0	69.0	41.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
EMP1	6.4986838975165	8.102570768517203e-11	0.667856	0.281857	0.0178128	0.174762	0.213002	0.41195	0.320251	0.135451	0.0180622	0.202991260853477	0.214942839291068	0.344967079515103	14.0	10.0	34.0	18.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
PEBP4	-6.488931078028974	8.644749877241609e-11	-0.230643	0.238735	0.333992	-0.395828	0.290004	0.172283	-0.276681	0.106209	0.00918602	-0.471580994672127	0.303685577240989	0.12045673485986	9.0	5.0	57.0	22.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
UMODL1	-6.457640917681025	1.0634771043336439e-10	-0.12954	0.120076	0.280669	-0.233843	0.0969352	0.0158493	-0.0549352	0.0513195	0.284415	-0.185239841320074	0.0977000635040084	0.0579593394974724	150.0	73.0	327.0	198.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
OR51I1	6.419265112006694	1.369337597245343e-10	0.208508	0.189735	0.271792	0.116835	0.117772	0.321176	0.142704	0.0795714	0.0729085	0.419035654868364	0.165308557015387	0.011248915413039	21.0	15.0	56.0	39.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
MRPL42	6.413605520818171	1.421176649300768e-10	0.382612	0.578628	0.508458	0.465214	0.543548	0.392062	0.749744	0.212923	0.000429589	0.743514344839041	0.540626140875082	0.16904349327989	14.0	7.0	37.0	14.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DPYSL4	6.408391874632643	1.470625177695008e-10	0.37131	0.246166	0.131459	0.587411	0.222306	0.0082333	0.118508	0.132822	0.372269	0.342334313877614	0.250714575026288	0.172116547380197	60.0	20.0	130.0	59.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TRMT12	6.405603127054033	1.4977610530370651e-10	0.747492	0.344929	0.0302281	0.78984	0.370821	0.0331734	0.290125	0.173272	0.0940538	0.12895904522509	0.297040281650223	0.664181946455621	18.0	10.0	63.0	44.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
EPHA5	6.338488518939052	2.3203012736356904e-10	0.22237	0.283133	0.432223	0.293912	0.290257	0.311255	0.333475	0.114094	0.00346885	0.381320640948181	0.23571830370351	0.105728051703697	45.0	19.0	168.0	55.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TREML1	6.326165483963713	2.513282825858261e-10	0.636896	0.229518	0.00552128	-0.0486892	0.19143	0.79923	0.283075	0.118866	0.0172439	0.274340581938963	0.19263885006546	0.154412124245656	20.0	11.0	67.0	39.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
KIF3C	6.298391370485183	3.007503785210688e-10	0.414709	0.348373	0.233883	0.663796	0.343027	0.0529764	0.300884	0.153486	0.0499561	0.276189848411353	0.227780434997466	0.22531084647431	33.0	16.0	103.0	65.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE_and_CADD_20_VEP; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	14.089317917099583	4.418081684737566e-45	1.42758	0.320636	8.49417e-06	1.4764	0.602972	0.0143439	0.91009	0.165106	3.54492e-08	0.736621419849181	0.439436764240767	0.0936823087648858	25.0	8.0	66.0	17.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
BOLA1	7.369648373123016	1.7107866667571954e-13	1.11014	0.566144	0.0498924	0.889975	0.603173	0.140081	0.152694	0.256319	0.551363	1.17157331155303	0.351026706700978	0.0008451693777209	8.0	4.0	25.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
IRS1	7.321385539066919	2.4542360994910963e-13	0.567749	0.229471	0.0133549	0.431998	0.239232	0.0709538	0.171737	0.105217	0.102634	0.304796033580811	0.216284946835716	0.158766079088062	71.0	25.0	212.0	96.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RECK	-7.2981279853028695	2.917990120571495e-13	-0.863249	0.427869	0.0436378	-0.46593	0.338643	0.16886	-0.215593	0.15371	0.160736	-0.844637275847417	0.337570805088855	0.0123457638021058	46.0	17.0	122.0	49.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
CFAP52	-7.188153380563783	6.567346326498717e-13	-0.435412	0.537201	0.417642	-1.31445	0.531338	0.0133666	-0.469945	0.222476	0.0346572	-0.537127386386744	0.299829221319084	0.0732220056477578	21.0	8.0	73.0	51.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TNFRSF17	6.9563148403224035	3.4928880370005075e-12	0.669453	0.537979	0.213358	0.218925	0.436367	0.615879	0.603724	0.211741	0.00435485	0.994363216335367	0.421520294068358	0.0183246256400527	9.0	4.0	27.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
HNRNPM	6.902665073948116	5.1035861683628775e-12	0.255221	0.314188	0.416609	0.378445	0.263733	0.1513	0.359669	0.126904	0.00459442	0.461432892674368	0.253366261999532	0.0685751072920194	41.0	17.0	123.0	37.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DSEL	6.8547123962970655	7.145613145226871e-12	0.559979	0.22792	0.0140135	0.626914	0.239379	0.00882084	-0.0431553	0.121252	0.721905	0.507459690769187	0.237708518393982	0.0327775064769944	67.0	22.0	189.0	57.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ANKRD29	-6.820160592316199	9.093879498732845e-12	-1.85242	1.01664	0.0684409	-1.01467	0.516456	0.0494504	-0.225073	0.216551	0.298641	-0.932573957923367	0.467683359166421	0.0461489375085295	21.0	10.0	55.0	31.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ABCD2	6.646553387223887	3.000356546939531e-11	1.67133	0.584964	0.0042747	0.277665	0.414974	0.503422	0.165319	0.204958	0.419898	0.731622865960789	0.316214788755351	0.0206847551541819	11.0	7.0	81.0	32.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
WDR92	-6.631205919678546	3.3295535396870884e-11	-0.9586	0.737952	0.193944	-0.887595	0.443565	0.0453871	-0.638905	0.30491	0.0361363	-0.584484676369911	0.472972699856545	0.216544695775095	14.0	6.0	41.0	21.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
PDE9A	6.614563388628806	3.7264995322845805e-11	0.722917	0.307692	0.0187997	0.490727	0.298069	0.0996906	0.0400921	0.14966	0.788785	0.735448407937654	0.312845048597393	0.0187311258523464	33.0	15.0	88.0	31.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
MET	-6.6021768532609055	4.051637508182367e-11	0.106904	0.288483	0.710957	-0.68264	0.281656	0.0153646	-0.477899	0.168774	0.00463161	-0.395319117454889	0.230172224560319	0.0858891855021408	39.0	18.0	120.0	68.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ETNK2	-6.558453231841098	5.436875240007785e-11	-0.906305	0.603761	0.13333	-0.531859	0.361496	0.141217	-0.52505	0.237721	0.0271971	-0.471095033856756	0.342017463952414	0.168388451160001	22.0	9.0	49.0	32.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ATP8B2	6.4875006269677336	8.727197690102267e-11	0.429273	0.242145	0.0762632	0.113171	0.259167	0.662348	0.302427	0.114759	0.00840595	0.27612496713151	0.168090852042768	0.100442402540804	44.0	17.0	144.0	65.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
STK38L	6.434779746610324	1.2365250279274802e-10	0.721044	0.845099	0.393545	NA	NA	NA	0.480949	0.310477	0.121366	3.24090182845821	0.803693762927899	5.51846481277504e-05	7.0	NA	34.0	9.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
MTFR2	6.433261864930356	1.248942038116648e-10	0.767851	0.361319	0.0335757	1.22233	0.511325	0.0168252	0.0144821	0.212401	0.94564	0.622533588322601	0.336608170367731	0.0643956012248935	17.0	6.0	33.0	21.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TPSG1	6.398971188707825	1.5642735301721793e-10	0.946891	0.347722	0.00646678	0.157762	0.303958	0.603744	0.121975	0.133838	0.362103	0.584948048764301	0.260503008294169	0.0247388724390302	21.0	15.0	54.0	35.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DYSF	6.393380684239111	1.6225761933686066e-10	0.48006	0.149406	0.00131296	0.290686	0.148136	0.0497279	0.1127	0.0696823	0.105805	-0.0452563717388084	0.113317957612625	0.689616831242263	145.0	61.0	368.0	176.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ENDOU	-6.385101612152693	1.7128369679340142e-10	-0.386899	0.535343	0.469856	-1.02739	0.524955	0.0503348	-0.828738	0.290154	0.00428739	-0.307231263029505	0.361836913935944	0.395832509485096	19.0	11.0	49.0	27.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RASAL1	6.3509652907606515	2.1396798793556665e-10	0.189857	0.282022	0.50082	0.315119	0.241018	0.19106	0.320509	0.108752	0.00320712	0.309108660278086	0.217198662340384	0.154689495365651	48.0	19.0	125.0	63.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
PURG	6.324961250786092	2.532961371223449e-10	1.54554	0.391313	7.82698e-05	0.251032	0.475528	0.597568	0.131894	0.227861	0.5627	0.644578538780347	0.508102954654507	0.204584374982312	17.0	4.0	57.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
GDF9	6.266186134986173	3.6999803315062035e-10	0.376042	0.467911	0.421594	1.24329	0.707211	0.0787451	0.288661	0.226839	0.203182	0.705519576007581	0.290102162896651	0.0150169769445698	17.0	5.0	28.0	33.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
MRPL42	6.220471859229988	4.956619634060221e-10	0.34233	0.665572	0.607015	NA	NA	NA	0.949451	0.238973	7.09598e-05	0.984260546577692	0.567923940110054	0.0830805354961692	10.0	NA	27.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE_and_CADD_20_VEP; MAF: 0.01; NUMVAR >= 4
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	19.42406167756399	4.8313441788635485e-84	0.681068	0.173446	8.61206e-05	0.570242	0.134312	2.17967e-05	0.515578	0.0841719	9.0515e-10	0.665562299143836	0.129829707893833	2.95295141531058e-07	27.0	10.0	68.0	19.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
EEA1	7.236498790223952	4.604157708603059e-13	0.631861	0.142799	9.65157e-06	0.0862854	0.119447	0.470063	0.0439633	0.0726235	0.54494	0.24462722630152	0.164850054054992	0.137825422985216	47.0	25.0	134.0	60.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
NAALADL1	7.094826121926977	1.295142173258849e-12	0.327801	0.200709	0.102423	0.33353	0.158157	0.0349575	0.0255721	0.0897506	0.775702	0.532603518580831	0.173609031848876	0.0021561707136018	46.0	26.0	123.0	67.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
HIVEP2	7.062284302048406	1.63787442354326e-12	0.183741	0.134008	0.17034	0.146682	0.130324	0.260367	0.129696	0.0584824	0.0265762	0.289103989835548	0.123130182372788	0.0188768583541468	79.0	25.0	215.0	90.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TNFRSF17	6.9563148403224035	3.4928880370005075e-12	0.669453	0.537979	0.213358	0.218925	0.436367	0.615879	0.603724	0.211741	0.00435485	0.994363216335367	0.421520294068358	0.0183246256400527	9.0	4.0	27.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ANKRD29	-6.820160592316199	9.093879498732845e-12	-1.85242	1.01664	0.0684409	-1.01467	0.516456	0.0494504	-0.225073	0.216551	0.298641	-0.932573957923367	0.467683359166421	0.0461489375085295	21.0	10.0	55.0	31.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ADAMTS5	-6.743148852963289	1.549902746693725e-11	-0.498221	0.276054	0.0711072	-0.449572	0.2479	0.0697517	-0.170559	0.109556	0.119514	-0.36052063431004	0.229922176369308	0.116878430622948	59.0	19.0	154.0	68.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
WDR92	-6.631205919678546	3.3295535396870884e-11	-0.9586	0.737952	0.193944	-0.887595	0.443565	0.0453871	-0.638905	0.30491	0.0361363	-0.584484676369911	0.472972699856545	0.216544695775095	14.0	6.0	41.0	21.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
SORCS3	-6.604671378394995	3.9840009205263157e-11	-0.0710567	0.252769	0.778623	-0.720921	0.279063	0.00978415	-0.217207	0.111905	0.0522585	-0.448286343194865	0.249158608995149	0.0719869391006683	59.0	24.0	162.0	71.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RAD51AP2	6.5659644531862895	5.169714851835897e-11	0.501255	0.262087	0.055805	0.386967	0.295264	0.189999	0.34015	0.123451	0.00586307	0.165666381958798	0.281990800866033	0.55687560188082	21.0	12.0	47.0	42.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
