COHORT: GNE_AMP_NIH_UKB_CASE_CONTROL_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 3
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASES_BETA	UKB_CASES_SE	UKB_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
SCPEP1	4.38923632082353	1.137494063653542e-05	1.28914	0.770649	0.0943676	1.42377	0.661801	0.0314481	0.599394333816046	1.06072139183965	0.572018139634863	5.0	4.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SOAT2	4.255506458006997	2.0857634375599188e-05	0.647054	0.32986	0.0498089	NA	NA	NA	0.709482890173676	0.309290499961594	0.0217959810802337	6.0	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ANKDD1A	3.928264379716113	8.556112222599085e-05	1.92457	0.821911	0.0192026	NA	NA	NA	1.16744561844316	0.73577663689752	0.112584046760054	4.0	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
TRPM2	3.8110028021326183	0.00013840419815873187	0.27209	0.30346	0.369918	0.578397	0.301842	0.0553363	0.262138236676053	0.262623345348955	0.318205253216875	19.0	6.0	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ANKRD35	3.8061720081096437	0.00014113424534997944	NA	NA	NA	0.622617	0.525273	0.23589	0.787903283802311	0.300628770593821	0.0087710527736246	NA	3.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SYNE4	-3.798878934865372	0.00014535206701145274	-0.474283	0.75359	0.52911	-1.06676	0.565646	0.059306	-0.620218630088436	0.483186973886379	0.199282072630315	5.0	3.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ALMS1	3.772462594054055	0.0001616442060362235	0.748115	0.39877	0.0606473	NA	NA	NA	0.699224279610696	0.368710180327495	0.0579063499404486	19.0	NA	22.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CCDC158	3.7066475619035173	0.00021002088853699498	1.34957	0.548656	0.0139024	0.106131	0.550899	0.847233	0.571330264312326	0.541944632024898	0.291781027746948	11.0	3.0	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
VPS13A	3.706028239024319	0.00021053483575146235	1.54204	0.524342	0.00327248	NA	NA	NA	0.291768139799279	0.381334820329159	0.4441981521126	14.0	NA	28.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
BCAS4	3.6510190123348663	0.0002612019011314344	1.10253	0.715606	0.123391	0.956681	0.791909	0.227021	0.680289742612597	0.753987939410745	0.366921174565869	4.0	3.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CTTNBP2	3.6429563604486566	0.0002695245466174681	2.64037	1.22823	0.0315758	NA	NA	NA	1.03960976612496	0.696219830301805	0.135379461498745	3.0	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
BLM	3.6380832518382418	0.0002746746452835628	0.248988	0.564676	0.659257	0.982465	0.603184	0.103356	0.604248358448257	0.385277581930462	0.116800524767547	13.0	5.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
LIPE	3.6214049849748133	0.00029300741833538795	1.08247	0.482303	0.0248084	NA	NA	NA	0.299571310935429	0.217549259967976	0.168503749515612	9.0	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
TRAPPC3L	3.605267875570504	0.0003118311087798752	NA	NA	NA	0.48783	0.927199	0.598795	1.93465590208608	0.628311518023376	0.0020760267795094	NA	3.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CD44	3.590169740958714	0.0003304626936573947	3.22015	1.12446	0.00418689	NA	NA	NA	0.610504365916178	0.840406236353939	0.467569325430392	3.0	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SP100	-3.574213569538257	0.00035128212167143005	NA	NA	NA	-0.604001	0.33706	0.0731379	-0.492003455858637	0.2760582952547	0.0747093231736227	NA	3.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
MROH5	-3.5490697289342528	0.00038659469391879247	-0.650158	0.608976	0.28569	-1.06886	0.812196	0.188171	-1.72915318853837	1.48370105026906	0.243844032519925	12.0	3.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
LONP2	3.5308053343328725	0.0004142965341761526	-1.17113	1.03218	0.256535	0.497798	0.441989	0.260053	1.5140360037784	0.427795843599402	0.0004014093550155	7.0	4.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
B3GNT3	3.505879203534955	0.00045510171254698807	NA	NA	NA	NA	NA	NA	3.74312143465989	1.06766982470067	0.0004551017125469	NA	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
TRMT10A	3.4549288466129435	0.000550438066024895	2.53792	0.850137	0.00283288	NA	NA	NA	0.333404522378193	0.709942642882432	0.638625266407242	3.0	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
RECQL4	-3.434588097794472	0.0005934551347539804	-0.275407	0.623057	0.65847	-0.960585	0.829057	0.2466	-0.958903366453814	0.522872303138372	0.0666666107120231	12.0	3.0	20.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
COL22A1	3.348102372838481	0.0008136694892557388	NA	NA	NA	0.762761	0.69358	0.271443	0.723893722810822	0.32196556824682	0.0245533984262347	NA	3.0	29.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_CONTROL_META; VARIANT GROUP: ALL_MODERATE_HIGH_IMPACT_SNPEFF; MAF: 0.001; NUMVAR >= 3
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASES_BETA	UKB_CASES_SE	UKB_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	8.807880374082151	1.2753443111181059e-18	1.18776	0.263712	6.66843e-06	0.87011	0.352526	0.013579	0.769647136492188	0.419275225865795	0.0664078248262314	35.0	15.0	19.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DSEL	7.695563289817887	1.4087218047003683e-14	0.688363	0.223059	0.00202863	0.669373	0.267761	0.0124232	0.401032076443262	0.190093195512048	0.0348876224806451	63.0	22.0	79.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
BOLA1	6.750021100101437	1.4782365634986507e-11	1.01812	0.555583	0.0668723	1.00169	0.587393	0.0881355	1.09138563558828	0.339764698226677	0.0013173145056984	9.0	5.0	15.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
TAAR6	6.432829337661226	1.2525025778124791e-10	0.710212	0.342692	0.0382232	0.708631	0.301031	0.0185719	0.532793732632712	0.265551606666569	0.0448172059326547	27.0	13.0	41.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ELN	6.25951659574341	3.8617263935621153e-10	0.452351	0.233779	0.0529957	0.343713	0.206046	0.0952886	0.46195315067883	0.173900121153146	0.0078973313372441	57.0	30.0	81.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
KCNK4	6.160066593145965	7.271436002299065e-10	0.642379	0.318684	0.043829	0.783966	0.309685	0.0113577	0.330474219739096	0.204901076906343	0.106777611578367	30.0	14.0	48.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DLEU7	6.143627099641578	8.065807481726196e-10	1.04158	0.396452	0.00860807	0.911536	0.379636	0.0163467	0.407973799887206	0.365799190463023	0.264724271213436	17.0	7.0	17.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
NOCT	5.937534834431082	2.8933958230081903e-09	0.492765	0.351384	0.16081	0.511152	0.292447	0.0804903	0.987299568193758	0.354209122435547	0.0053143470946627	18.0	8.0	26.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
EP400	5.921913199549455	3.1821758258143144e-09	0.311026	0.142761	0.0293584	0.276941	0.153597	0.0713829	0.206337181215966	0.106346848506667	0.052351932226404	200.0	63.0	306.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
PSG7	5.9061821211207866	3.50126901670289e-09	0.569415	0.231942	0.0140891	0.548395	0.231547	0.0178656	0.176468150258494	0.162974313128223	0.278898393269631	53.0	24.0	91.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ALKBH6	5.897329965168316	3.694306383995344e-09	0.594249	0.371426	0.109618	0.919734	0.535683	0.0859909	1.25008792256202	0.484439949149861	0.0098662880839102	14.0	6.0	15.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
KIF9	5.861103057788507	4.598024845637901e-09	1.01942	0.218698	3.14219e-06	0.148892	0.235496	0.527224	0.102669821526843	0.18090299452327	0.570346847688333	55.0	26.0	93.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CFAP52	-5.846056578327778	5.033629008716053e-09	-0.352038	0.407327	0.387442	-0.852688	0.351345	0.0152275	-0.679282920704885	0.265877931573182	0.010622818696429	33.0	13.0	66.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ERCC8	-5.833904350980616	5.41451676857657e-09	-1.32354	0.727548	0.0688837	-0.71769	0.393815	0.0683936	-0.66120240221282	0.301599197632898	0.0283563011297112	29.0	10.0	38.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
PARM1	5.824553529209627	5.726548175549874e-09	0.818347	0.335631	0.0147592	0.962014	0.372028	0.00971349	0.265792138804556	0.33205141344999	0.423447357260572	16.0	7.0	28.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DPYSL4	5.81678820140816	5.9989071906614285e-09	0.37131	0.246166	0.131459	0.854218	0.290256	0.0032507	0.342334313877614	0.250714575026288	0.172116547380197	60.0	19.0	59.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
MTFR2	5.791714322881079	6.967157739180122e-09	0.726561	0.307725	0.0182222	0.774244	0.356194	0.0297309	0.350517873146792	0.278856325597785	0.208759515612944	26.0	11.0	36.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
KLHL25	-5.645715820450452	1.6449536978865886e-08	-0.7315	0.334694	0.0288465	-0.912865	0.315496	0.00381062	-0.110098849802646	0.194277496771165	0.57091175168186	60.0	22.0	102.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
MXD1	5.637034856931109	1.7300310484961695e-08	0.936818	0.500806	0.0613978	1.24385	0.548573	0.023364	0.56224670286724	0.37508471835088	0.133877290837067	11.0	8.0	16.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
TMEM236	5.6318386532014415	1.7829845138405304e-08	0.776282	0.38174	0.0419982	0.502436	0.330048	0.127931	0.553739764198468	0.266735168341878	0.0378947988777538	16.0	12.0	45.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
MAP3K6	-5.579006131005665	2.418967158767953e-08	-0.455703	0.297154	0.125138	-0.484173	0.226119	0.0322555	-0.334885595215875	0.175865263905104	0.0568819508132278	81.0	37.0	121.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
BLOC1S6	5.576686561063371	2.451429900089033e-08	1.73008	0.825765	0.0361595	2.10739	1.16981	0.0716273	0.712836354308224	0.424286628528233	0.0929413502108018	5.0	3.0	17.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
FAM186B	5.535239643525548	3.108031026093796e-08	0.0151253	0.261132	0.953811	0.453466	0.209124	0.0301275	0.584628522997871	0.176683096152478	0.0009365982698737	56.0	29.0	95.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
GDF9	5.512007255261626	3.547642929540499e-08	-0.0307325	0.417014	0.941252	0.978568	0.474318	0.0391026	0.794658719313446	0.225588787384234	0.0004273382441273	26.0	8.0	53.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_CONTROL_META; VARIANT GROUP: ALL_MODERATE_HIGH_IMPACT_SNPEFF; MAF: 0.01; NUMVAR >= 3
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASES_BETA	UKB_CASES_SE	UKB_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	13.74284861342992	5.62195018447731e-43	0.686803	0.16392	2.79129e-05	0.567902	0.129786	1.21058e-05	0.669509757037131	0.129316351187564	2.25118087878369e-07	37.0	17.0	21.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
EEA1	7.55887042978949	4.0658465982123414e-14	0.590326	0.124889	2.28064e-06	0.064873	0.111883	0.56203	0.281506105845934	0.124989607473326	0.0243073559565939	55.0	28.0	92.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
RNF114	6.919720915840313	4.5253427080688756e-12	0.494221	0.26179	0.0590455	0.268103	0.194885	0.168915	0.759777852904681	0.207807061135968	0.0002560120421331	16.0	9.0	23.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SNX27	-6.749672096156614	1.481796555484431e-11	-0.719619	0.283461	0.0111269	-0.645474	0.228581	0.00474535	-0.273894107905587	0.197450435045843	0.16539489039208	27.0	10.0	29.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
LSR	6.477528075296824	9.32374287311035e-11	0.452144	0.164979	0.00613252	0.389609	0.189903	0.0402064	0.199387817072404	0.11831058046768	0.0919323425032511	55.0	26.0	83.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
NUP210	6.430971878009986	1.2679061961900258e-10	0.25994	0.112504	0.0208605	0.153764	0.090641	0.089809	0.215867383609869	0.0890516461477096	0.0153476659529858	138.0	65.0	212.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DLEU7	6.143627099641578	8.065807481726196e-10	1.04158	0.396452	0.00860807	0.911536	0.379636	0.0163467	0.407973799887206	0.365799190463023	0.264724271213436	17.0	7.0	17.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
GPLD1	-6.109773312944662	9.9772753716525e-10	-0.362102	0.192601	0.0601001	-0.271283	0.134853	0.0442526	-0.288793348020507	0.130203445746005	0.0265537299280114	61.0	30.0	104.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DSEL	5.870597310342338	4.342278174772919e-09	0.350387	0.172846	0.0426457	0.309355	0.166203	0.0627001	0.25937201691796	0.130855447694717	0.0474651130485253	66.0	25.0	82.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DLL4	5.854802220480044	4.775780088404559e-09	0.471549	0.28277	0.0953947	0.333736	0.26776	0.212619	0.593385396364556	0.201777117593792	0.0032736976125282	35.0	12.0	49.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
LRRK2	5.81219738080777	6.1658078654940114e-09	0.15702	0.134242	0.242131	0.275456	0.105909	0.00929857	0.198642149233156	0.0972951747741926	0.0411868171620675	129.0	58.0	200.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SULT1C4	-5.658327561178554	1.5285518915438353e-08	-0.796844	0.332835	0.0166608	-0.398836	0.192305	0.0380819	-0.512884415054586	0.430908354071299	0.233952024881661	14.0	11.0	26.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ZNF781	5.627802778057443	1.8251960158990394e-08	0.702217	0.31683	0.0266654	0.459584	0.343628	0.181078	0.464277466648675	0.223859050142595	0.0380818845148652	17.0	9.0	39.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CENPF	-5.569312467447828	2.5574648436525195e-08	-0.371545	0.136425	0.00646054	-0.139046	0.0902384	0.123346	-0.117348364161644	0.0899220678680183	0.191892599400491	158.0	78.0	279.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
HSPA1L	-5.536590177079232	3.0841707631562795e-08	-0.457831	0.297213	0.12346	-0.359642	0.16945	0.0338037	-0.500072826060571	0.266880778892792	0.0609623246902803	39.0	16.0	50.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
BLOC1S6	5.53350353973525	3.138966453856639e-08	1.73008	0.825765	0.0361595	0.760641	0.428262	0.0757146	0.543326950836211	0.326858762817135	0.0964589964600797	5.0	4.0	18.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DPYSL4	5.5161601660301525	3.464865087577785e-08	0.37131	0.246166	0.131459	0.587411	0.222306	0.0082333	0.342334313877614	0.250714575026288	0.172116547380197	60.0	20.0	59.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SST	-5.513354591911069	3.5205791598075896e-08	-0.526773	0.751982	0.483607	-1.28668	0.476592	0.0069391	-0.916922803798135	0.433925056591205	0.0345930445313883	3.0	4.0	10.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ENPP2	-5.479970670255797	4.2539634823532466e-08	-0.37316	0.179668	0.0378069	-0.162158	0.132499	0.22101	-0.277466752107299	0.127325895355081	0.029317886474967	53.0	20.0	77.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
GCNT2	-5.477332416790494	4.317856083754462e-08	-0.373936	0.170978	0.0287399	-0.263144	0.146714	0.0728801	-0.198421109826549	0.132571866690346	0.134469771384431	72.0	29.0	136.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
MPP2	-5.474887400880469	4.377898927813182e-08	-0.780345	0.525848	0.137816	-0.59213	0.239903	0.013579	-0.437171832534774	0.287101733793195	0.127832014761194	30.0	11.0	60.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ASMT	-5.457039880519483	4.841376473059526e-08	-0.965862	0.348246	0.00554562	NA	NA	NA	-0.465212352633865	0.17335803791663	0.0072848361753386	39.0	NA	60.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
HSD11B1L	5.418520106011604	6.009438204492379e-08	0.707961	0.250819	0.00476365	0.07092	0.239865	0.767485	0.673280690463867	0.292698077254184	0.0214336856485304	35.0	16.0	42.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CGN	5.406562153565628	6.424593959545762e-08	0.16618	0.114202	0.145632	0.226005	0.0960056	0.0185687	0.185262681303621	0.11598200791577	0.110189975975502	104.0	51.0	156.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_CONTROL_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE_and_CADD_20_VEP; MAF: 0.001; NUMVAR >= 3
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASES_BETA	UKB_CASES_SE	UKB_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	8.577162089934006	9.724253922553973e-18	1.42758	0.320636	8.49417e-06	1.4764	0.602972	0.0143439	0.736621419849181	0.439436764240767	0.0936823087648858	25.0	8.0	17.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DSEL	7.210626525548543	5.569501823766968e-13	0.559979	0.22792	0.0140135	0.626914	0.239379	0.00882084	0.507459690769187	0.237708518393982	0.0327775064769944	67.0	22.0	57.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
